id,city,lat,lon
35,La Rochelle,46.159732,-1.1515951
34,Bayonne,43.4945144,-1.4736657
33,Biarritz,43.4832523,-1.5592776
32,Montauban,44.0175835,1.3549991
31,Toulouse,43.6044622,1.4442469
30,Ariege,42.8458016,1.6067586
29,Carcassonne,43.2130358,2.3491069
28,Collioure,42.52505,3.0831554
27,Saintes Maries de la mer,43.4515922,4.4277202
26,Aigues Mortes,43.5661521,4.19154
25,Nimes,43.8374249,4.3600687
24,Uzes,44.0121279,4.4196718
23,Avignon,43.9492493,4.8059012
22,Aix en Provence,43.5298424,5.4474738
21,Marseille,43.2961743,5.3699525
20,Cassis,43.2140359,5.5396318
19,Bormes les Mimosas,43.1506968,6.3419285
17,Lyon,45.7578137,4.8320114
16,Grenoble,45.1875602,5.7357819
15,Annecy,45.8992348,6.1288847
14,Dijon,47.3215806,5.0414701
13,Besancon,47.2380222,6.0243622
12,Eguisheim,48.0447968,7.3079618
11,Colmar,48.0777517,7.3579641
10,Chateau du Haut Koenigsbourg,48.2495226,7.3454923
9,Strasbourg,48.584614,7.7507127
8,Lille,50.6365654,3.0635282
7,Amiens,49.8941708,2.2956951
6,Paris,48.8588897,2.320041
5,Rouen,49.4404591,1.0939658
4,Le Havre,49.4938975,0.1079732
3,Bayeux,49.2764624,-0.7024738
2,St Malo,48.649518,-2.0260409
1,Mont Saint Michel,48.6906803,5.8826485
